Day,Cash On Hand
0,3500000
1,3487400
2,3348280
3,3264160
4,2905676
5,2421115
6,159432
7,231207
8,425524
9,489395
10,642270
11,206138
12,457639
13,490687
14,579866
15,256559
16,98646
17,238942
18,392383
19,1016233
20,308663
21,527510
22,106842
23,319841
24,469394
25,283391
26,403606
27,177790
28,183447
29,142036
30,236452
31,340431
32,185444
33,157605
34,267633
35,123265
36,134153
37,221492
38,218693
39,304218
40,396503
41,375088
42,189819
43,568971
44,974792
45,1406471
46,1634884
47,2496982
48,1119505
49,358989
50,454436
51,479577
52,1661860
53,1616608
54,1516885
55,1641141
56,1406696
57,1264356
58,1142426
59,770246
60,769119
61,461278
62,376432
63,318175
64,330594
65,498649
66,265108
67,207241
68,367731
69,384199
70,451798
71,463748
72,610343
73,1939796
74,1957921
75,2024289
76,2088403
77,1325157
78,2218919
79,2480773
80,2618771
81,2984229
82,2868748
83,3057335
84,3235011
85,3428283
86,3440713
87,3510180
88,3369533
89,3455367
90,3474505
