Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,151720,-151720
3,0,0,235840,-235840
4,73636,29744,259960,-230216
5,238545,96402,304763,-208361
6,403232,165911,375932,-210021
7,530204,219977,412128,-192151
8,717108,329446,454838,-125392
9,852690,387539,536548,-149009
10,1396812,624820,573258,51562
11,1846216,833144,679009,154135
12,2162843,996586,721674,274912
13,3275795,1226875,771127,455748
14,4186570,1703699,812580,891119
15,4379711,1801468,876256,925212
16,4570933,1893169,922987,970182
17,4774223,1966750,975975,990775
18,5006320,2078823,1067963,1010860
19,6755778,2632552,1113153,1519399
20,6870816,2695589,1183026,1512563
21,7033730,2802888,1237844,1565044
22,7154351,2870390,1292112,1578278
23,7501785,2958803,1346746,1612057
24,7648151,3031883,1408822,1623061
25,8130881,3212754,1469220,1743534
26,8257605,3286074,1522376,1763698
27,8398991,3374064,1626389,1747675
28,8599659,3469210,1682298,1786912
29,8735749,3552377,1720697,1831680
30,8874191,3628439,1781388,1847051
31,9038385,3727589,1858268,1869321
32,9192974,3809674,1918909,1890765
33,9548761,3933508,1976045,1957463
34,9697117,4005425,2031038,1974387
35,10382414,4248780,2085040,2163740
36,10520338,4321987,2193251,2128736
37,11275489,4803359,2252728,2550631
38,11935959,5241060,2307662,2933398
39,12809273,5813362,2361539,3451823
40,12936768,5892970,2413414,3479556
41,13047839,5953488,2472085,3481403
42,14177914,6075385,2530464,3544921
43,15204527,6381451,2586476,3794975
44,16092095,6623160,2641188,3981972
45,16832552,6874146,2758639,4115507
46,17996240,7023036,2815451,4207585
47,19397746,7317776,2876242,4441534
48,19463974,7337336,3005816,4331520
49,19533753,7251008,3076708,4174300
50,20305745,7496399,3158250,4338149
51,20377826,7544735,3235187,4309548
52,21810558,8021600,3325733,4695867
53,21878635,8071333,3421863,4649470
54,22033653,8168136,3559493,4608643
55,22222983,8293654,3654564,4639090
56,22543390,8478200,3749592,4728608
57,22695934,8569944,3840977,4728967
58,22867134,8691028,3936642,4754386
59,22940924,8737955,4032987,4704968
60,23017069,8787793,4140256,4647537
61,23097568,8841873,4253888,4587985
62,23206871,8927538,4419324,4508214
63,23379149,9017954,4567756,4450198
64,23465003,9076507,4671188,4405319
65,23767448,9145869,4771354,4374515
66,24104561,9254788,4859678,4381109
67,24244753,9343201,4952382,4376818
68,24559514,9445595,5043218,4388376
69,24703077,9542478,5132258,4396219
70,24845076,9638537,5223323,4401213
71,24981255,9730335,5328707,4375293
72,25274894,9875408,5489083,4359990
73,26743459,9702185,5575526,4088657
74,27170996,9865660,5786921,4040737
75,27293725,9948293,5849948,4060343
76,27428579,10038420,5927354,4073064
77,27556973,10124885,5979584,4107299
78,28500290,10603232,6035805,4529425
79,28814695,10816130,6095022,4683106
80,29421710,11136426,6148772,4949652
81,30088931,11490323,6242218,5210103
82,30560697,11831538,6287383,5497152
83,30794549,11889798,6332648,5510147
84,31302310,11992405,6377913,5587489
85,31758875,11943732,6425226,5511503
86,31861754,12016641,6478105,5551533
87,31962234,12087847,6529118,5591726
88,32093480,12179465,6594211,5618251
89,32224730,12269405,6659627,5662775
90,32357484,12358575,6724643,5686929
